Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
60,240,160,3,4,98.33333333333334
60,240,160,3,8,96.66666666666667
60,240,160,3,3,98.75
60,240,160,3,4,98.33333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,6,97.5
60,240,160,3,5,97.91666666666667
60,240,160,3,3,98.75
60,240,160,3,3,98.75
60,240,160,3,2,99.16666666666667
60,240,160,3,9,96.25
60,240,160,3,4,98.33333333333334
60,240,160,3,8,96.66666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,6,97.5
60,240,160,3,4,98.33333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,2,99.16666666666667
60,240,160,3,3,98.75
60,240,160,3,5,97.91666666666667
60,240,160,3,3,98.75
60,240,160,3,5,97.91666666666667
60,240,160,3,1,99.58333333333334
60,240,160,3,10,95.83333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,9,96.25
60,240,160,3,3,98.75
60,240,160,3,5,97.91666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,1,99.58333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,2,99.16666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,6,97.5
60,240,160,3,7,97.08333333333334
60,240,160,3,3,98.75
60,240,160,3,1,99.58333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,7,97.08333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,15,93.75
60,240,160,3,6,97.5
60,240,160,3,8,96.66666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,1,99.58333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,2,99.16666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,1,99.58333333333334
60,240,160,3,7,97.08333333333334
60,240,160,3,6,97.5
60,240,160,3,5,97.91666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,6,97.5
60,240,160,3,2,99.16666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,6,97.5
60,240,160,3,4,98.33333333333334
60,240,160,3,7,97.08333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,8,96.66666666666667
60,240,160,3,2,99.16666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,6,97.5
60,240,160,3,8,96.66666666666667
60,240,160,3,6,97.5
60,240,160,3,4,98.33333333333334
60,240,160,3,6,97.5
60,240,160,3,5,97.91666666666667
60,240,160,3,2,99.16666666666667
60,240,160,3,9,96.25
60,240,160,3,5,97.91666666666667
60,240,160,3,2,99.16666666666667
60,240,160,3,3,98.75
60,240,160,3,5,97.91666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,3,98.75
60,240,160,3,9,96.25
60,240,160,3,5,97.91666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,2,99.16666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,2,99.16666666666667
60,240,160,3,2,99.16666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,6,97.5
60,240,160,3,2,99.16666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,6,97.5
60,240,160,3,5,97.91666666666667
60,240,160,3,9,96.25
60,240,160,3,1,99.58333333333334
60,240,160,3,7,97.08333333333334
60,240,160,3,7,97.08333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,3,98.75
60,240,160,3,6,97.5
60,240,160,3,6,97.5
60,240,160,3,11,95.41666666666667
60,240,160,3,6,97.5
60,240,160,3,3,98.75
60,240,160,3,5,97.91666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,6,97.5
60,240,160,3,4,98.33333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,5,97.91666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,11,95.41666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,3,98.75
60,240,160,3,4,98.33333333333334
60,240,160,3,3,98.75
60,240,160,3,6,97.5
60,240,160,3,6,97.5
60,240,160,3,5,97.91666666666667
60,240,160,3,6,97.5
60,240,160,3,8,96.66666666666667
60,240,160,3,4,98.33333333333334
60,240,160,3,3,98.75
60,240,160,3,6,97.5
60,240,160,3,3,98.75
60,240,160,3,1,99.58333333333334
60,240,160,3,8,96.66666666666667
60,240,160,3,1,99.58333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,8,96.66666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,2,99.16666666666667
60,240,160,3,6,97.5
60,240,160,3,10,95.83333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,4,98.33333333333334
60,240,160,3,5,97.91666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,3,98.75
60,240,160,3,4,98.33333333333334
60,240,160,3,3,98.75
60,240,160,3,6,97.5
60,240,160,3,8,96.66666666666667
60,240,160,3,8,96.66666666666667
60,240,160,3,7,97.08333333333334
60,240,160,3,9,96.25
60,240,160,3,4,98.33333333333334
60,240,160,3,6,97.5
60,240,160,3,2,99.16666666666667
60,240,160,3,6,97.5
