Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
55,220,180,3,24,89.0909090909091
55,220,180,3,27,87.72727272727272
55,220,180,3,27,87.72727272727272
55,220,180,3,24,89.0909090909091
55,220,180,3,31,85.9090909090909
55,220,180,3,29,86.81818181818181
55,220,180,3,23,89.54545454545455
55,220,180,3,29,86.81818181818181
55,220,180,3,18,91.81818181818181
55,220,180,3,28,87.27272727272727
55,220,180,3,28,87.27272727272727
55,220,180,3,22,90.0
55,220,180,3,34,84.54545454545455
55,220,180,3,28,87.27272727272727
55,220,180,3,26,88.18181818181817
55,220,180,3,22,90.0
55,220,180,3,24,89.0909090909091
55,220,180,3,20,90.9090909090909
55,220,180,3,30,86.36363636363636
55,220,180,3,25,88.63636363636364
55,220,180,3,24,89.0909090909091
55,220,180,3,29,86.81818181818181
55,220,180,3,23,89.54545454545455
55,220,180,3,28,87.27272727272727
55,220,180,3,35,84.0909090909091
55,220,180,3,24,89.0909090909091
55,220,180,3,30,86.36363636363636
55,220,180,3,20,90.9090909090909
55,220,180,3,21,90.45454545454545
55,220,180,3,26,88.18181818181817
55,220,180,3,29,86.81818181818181
55,220,180,3,28,87.27272727272727
55,220,180,3,34,84.54545454545455
55,220,180,3,29,86.81818181818181
55,220,180,3,24,89.0909090909091
55,220,180,3,23,89.54545454545455
55,220,180,3,25,88.63636363636364
55,220,180,3,23,89.54545454545455
55,220,180,3,26,88.18181818181817
55,220,180,3,23,89.54545454545455
55,220,180,3,32,85.45454545454545
55,220,180,3,27,87.72727272727272
55,220,180,3,32,85.45454545454545
55,220,180,3,33,85.0
55,220,180,3,18,91.81818181818181
55,220,180,3,23,89.54545454545455
55,220,180,3,31,85.9090909090909
55,220,180,3,29,86.81818181818181
55,220,180,3,27,87.72727272727272
55,220,180,3,25,88.63636363636364
55,220,180,3,31,85.9090909090909
55,220,180,3,27,87.72727272727272
55,220,180,3,21,90.45454545454545
55,220,180,3,24,89.0909090909091
55,220,180,3,20,90.9090909090909
55,220,180,3,21,90.45454545454545
55,220,180,3,25,88.63636363636364
55,220,180,3,31,85.9090909090909
55,220,180,3,23,89.54545454545455
55,220,180,3,22,90.0
55,220,180,3,26,88.18181818181817
55,220,180,3,21,90.45454545454545
55,220,180,3,15,93.18181818181817
55,220,180,3,15,93.18181818181817
55,220,180,3,27,87.72727272727272
55,220,180,3,27,87.72727272727272
55,220,180,3,28,87.27272727272727
55,220,180,3,25,88.63636363636364
55,220,180,3,32,85.45454545454545
55,220,180,3,37,83.18181818181817
55,220,180,3,21,90.45454545454545
55,220,180,3,27,87.72727272727272
55,220,180,3,29,86.81818181818181
55,220,180,3,28,87.27272727272727
55,220,180,3,33,85.0
55,220,180,3,22,90.0
55,220,180,3,22,90.0
55,220,180,3,27,87.72727272727272
55,220,180,3,33,85.0
55,220,180,3,31,85.9090909090909
55,220,180,3,29,86.81818181818181
55,220,180,3,30,86.36363636363636
55,220,180,3,27,87.72727272727272
55,220,180,3,21,90.45454545454545
55,220,180,3,43,80.45454545454545
55,220,180,3,38,82.72727272727272
55,220,180,3,21,90.45454545454545
55,220,180,3,31,85.9090909090909
55,220,180,3,27,87.72727272727272
55,220,180,3,24,89.0909090909091
55,220,180,3,26,88.18181818181817
55,220,180,3,28,87.27272727272727
55,220,180,3,24,89.0909090909091
55,220,180,3,28,87.27272727272727
55,220,180,3,31,85.9090909090909
55,220,180,3,27,87.72727272727272
55,220,180,3,34,84.54545454545455
55,220,180,3,24,89.0909090909091
55,220,180,3,23,89.54545454545455
55,220,180,3,28,87.27272727272727
55,220,180,3,18,91.81818181818181
55,220,180,3,25,88.63636363636364
55,220,180,3,28,87.27272727272727
55,220,180,3,31,85.9090909090909
55,220,180,3,30,86.36363636363636
55,220,180,3,27,87.72727272727272
55,220,180,3,23,89.54545454545455
55,220,180,3,26,88.18181818181817
55,220,180,3,30,86.36363636363636
55,220,180,3,27,87.72727272727272
55,220,180,3,27,87.72727272727272
55,220,180,3,19,91.36363636363636
55,220,180,3,26,88.18181818181817
55,220,180,3,37,83.18181818181817
55,220,180,3,25,88.63636363636364
55,220,180,3,23,89.54545454545455
55,220,180,3,32,85.45454545454545
55,220,180,3,30,86.36363636363636
55,220,180,3,27,87.72727272727272
55,220,180,3,30,86.36363636363636
55,220,180,3,29,86.81818181818181
55,220,180,3,29,86.81818181818181
55,220,180,3,25,88.63636363636364
55,220,180,3,23,89.54545454545455
55,220,180,3,32,85.45454545454545
55,220,180,3,22,90.0
55,220,180,3,22,90.0
55,220,180,3,25,88.63636363636364
55,220,180,3,20,90.9090909090909
55,220,180,3,25,88.63636363636364
55,220,180,3,24,89.0909090909091
55,220,180,3,30,86.36363636363636
55,220,180,3,23,89.54545454545455
55,220,180,3,22,90.0
55,220,180,3,24,89.0909090909091
55,220,180,3,26,88.18181818181817
55,220,180,3,30,86.36363636363636
55,220,180,3,24,89.0909090909091
55,220,180,3,24,89.0909090909091
55,220,180,3,25,88.63636363636364
55,220,180,3,28,87.27272727272727
55,220,180,3,22,90.0
55,220,180,3,22,90.0
55,220,180,3,29,86.81818181818181
55,220,180,3,26,88.18181818181817
55,220,180,3,23,89.54545454545455
55,220,180,3,22,90.0
55,220,180,3,26,88.18181818181817
55,220,180,3,21,90.45454545454545
55,220,180,3,28,87.27272727272727
55,220,180,3,21,90.45454545454545
55,220,180,3,38,82.72727272727272
55,220,180,3,19,91.36363636363636
55,220,180,3,31,85.9090909090909
55,220,180,3,18,91.81818181818181
55,220,180,3,18,91.81818181818181
55,220,180,3,17,92.27272727272727
55,220,180,3,26,88.18181818181817
55,220,180,3,37,83.18181818181817
55,220,180,3,29,86.81818181818181
55,220,180,3,25,88.63636363636364
55,220,180,3,26,88.18181818181817
55,220,180,3,21,90.45454545454545
55,220,180,3,22,90.0
55,220,180,3,29,86.81818181818181
55,220,180,3,32,85.45454545454545
55,220,180,3,27,87.72727272727272
55,220,180,3,24,89.0909090909091
55,220,180,3,19,91.36363636363636
55,220,180,3,25,88.63636363636364
55,220,180,3,22,90.0
55,220,180,3,29,86.81818181818181
55,220,180,3,26,88.18181818181817
55,220,180,3,23,89.54545454545455
55,220,180,3,30,86.36363636363636
55,220,180,3,24,89.0909090909091
55,220,180,3,24,89.0909090909091
55,220,180,3,26,88.18181818181817
55,220,180,3,31,85.9090909090909
55,220,180,3,24,89.0909090909091
55,220,180,3,19,91.36363636363636
55,220,180,3,27,87.72727272727272
55,220,180,3,20,90.9090909090909
55,220,180,3,17,92.27272727272727
55,220,180,3,29,86.81818181818181
55,220,180,3,23,89.54545454545455
55,220,180,3,24,89.0909090909091
55,220,180,3,26,88.18181818181817
55,220,180,3,32,85.45454545454545
55,220,180,3,33,85.0
55,220,180,3,31,85.9090909090909
55,220,180,3,29,86.81818181818181
55,220,180,3,29,86.81818181818181
55,220,180,3,32,85.45454545454545
55,220,180,3,30,86.36363636363636
55,220,180,3,18,91.81818181818181
55,220,180,3,37,83.18181818181817
55,220,180,3,22,90.0
55,220,180,3,27,87.72727272727272
55,220,180,3,30,86.36363636363636
55,220,180,3,27,87.72727272727272
55,220,180,3,29,86.81818181818181
55,220,180,3,24,89.0909090909091
55,220,180,3,27,87.72727272727272
55,220,180,3,25,88.63636363636364
55,220,180,3,33,85.0
55,220,180,3,26,88.18181818181817
55,220,180,3,27,87.72727272727272
55,220,180,3,18,91.81818181818181
55,220,180,3,25,88.63636363636364
55,220,180,3,25,88.63636363636364
55,220,180,3,23,89.54545454545455
